LGA,Travel time to GPO (minutes),Area (km^2),ARIA+ (min),ARIA+ (max),ARIA+ (avg),Commercial (km^2),Industrial (km^2),Residential (km^2),Rural (km^2),Other (km^2),"2012 ERP age 0-4, persons","2012 ERP age 5-9, persons","2012 ERP age 10-14, persons","2012 ERP age 15-19, persons","2012 ERP age 20-24, persons","2012 ERP age 25-44, persons","2012 ERP age 45-64, persons","2012 ERP age 65-69, persons","2012 ERP age 70-74, persons","2012 ERP age 75-79, persons","2012 ERP age 80-84, persons","2012 ERP age 85+, persons","2012 ERP, total","2007 ERP age 0-4, persons","2007 ERP age 5-9, persons","2007 ERP age 10-14, persons","2007 ERP age 15-19, persons","2007 ERP age 20-24, persons","2007 ERP age 25-44, persons","2007 ERP age 45-64, persons","2007 ERP age 65-69, persons","2007 ERP age 70-74, persons","2007 ERP age 75-79, persons","2007 ERP age 80-84, persons","2007 ERP age 85+, persons","2007 ERP, total",Public Hospitals,Private Hospitals,Community Health Centres,Bush Nursing Centres,Allied Health,Alternative Health,Child Protection and Family,Dental,Disability,General Practice,Homelessness,Mental Health,Pharmacies,Aged Care (High Care),Aged Care (Low Care),Aged Care (SRS),Kinder and/or Childcare,Primary Schools,Secondary Schools,P12 Schools,Other Schools,Centrelink Offices,Medicare Offices,Medicare Access Points,Number of Households,Occupied private dwellings,Population in non-private dwellings,Public Housing Dwellings,Dwellings with no motor vehicle,Dwellings with no internet,Equivalent household income <$600/week,"Personal income <$400/week, persons",Number of families,Female-headed lone parent families,Male-headed lone parent families,% residing near PT,IRSD (min),IRSD (max),IRSD (avg),Primary school students,Secondary school students,TAFE students,University students,"Holds degree or higher, persons","Did not complete year 12, persons","Unemployed, persons","Volunteers, persons","Requires assistance with core activities, persons","Aged 75+ and lives alone, persons","Unpaid carer to person with disability, persons","Unpaid carer of children, persons","Aboriginal or Torres Strait Islander, persons","Born overseas, persons","Born in non-English speaking country, persons","Speaks LOTE at home, persons","Poor English proficiency, persons",Travel time to nearest public hospital,Time to nearest public hospital with maternity services,"Presentations to emergency departments, 2012-13",Travel time to nearest public hospital with emergency department,Presentations to emergency departments due to injury,Category 4 & 5 emergency department presentations,Number of Dwellings,Population,Location_x,Location_y,ABS remoteness category
alpine,251.68248441191668,5838.503760143957,2.0715411204591403,3.503815300332616,2.7671061419042915,5.2349750461555566e-05,0.0002955679158803196,0.0030526751324982658,0.24840517250643462,0.7481942346947252,0.05028370181960477,0.057979521293941176,0.058044740103045715,0.057979521293941176,0.040044348790191094,0.2085697515163373,0.3163112241570469,0.06750146742320486,0.05250114132915933,0.03841387856257745,0.02810930672405922,0.024261396986891018,15333.0,0.05028370181960477,0.057979521293941176,0.058044740103045715,0.057979521293941176,0.040044348790191094,0.2085697515163373,0.3163112241570469,0.06750146742320486,0.05250114132915933,0.03841387856257745,0.02810930672405922,0.024261396986891018,15333.0,0.00019565642731363725,0.0,0.00019565642731363725,0.0,0.0020870018913454642,0.00019565642731363725,0.0,6.521880910454576e-05,0.0003913128546272745,0.00032609404552272873,0.0,0.00026087523641818303,0.00019565642731363725,0.006913193765081849,0.003913128546272745,0.0016956890367181895,0.0,0.0009130633274636405,0.00013043761820909151,0.00013043761820909151,0.0,0.00013043761820909151,0.0,0.0,6141.0,0.6935420358338256,0.44231147863752707,0.02155936207914944,0.049419177003347116,0.16676511124237053,0.4442273245399772,0.8215274385279271,3978.0,0.08823529411764706,0.03494218200100553,0.00034744343396096863,945.2196630748014,1047.6587840325963,994.3439484086919,0.07389291071545033,0.0628709319767821,0.01936998630405009,0.01336985586643188,0.1081980043044414,0.45170547185808385,0.020022174395095547,0.23596165134024652,0.051783734429009326,0.028304963151372858,0.09665427509293681,0.19735211635035543,0.007891475901650036,0.14367703645731428,0.07871910258918673,0.0799582599621731,0.011543729211504598,25.4747902301675,28.81278151027583,0.13912863825552732,96.84350664064999,0.30051084367944253,0.6068196660973655,10158.0,15333.0,189.0737599599213,99.82150311081098,2
ararat,161.68613460199998,4700.115991013119,1.5773317227590804,2.4106789403532156,2.012120859013421,7.510499628423056e-05,0.0003406693020420512,0.003476429680283372,0.8481146787622502,0.14799311725914033,0.05814728423858714,0.05639786737754082,0.05798067310896368,0.05614795068310563,0.04540153282239254,0.22175941352882372,0.2913195601466178,0.063728757080973,0.053815394868377206,0.03873708763745418,0.03215594801732756,0.02440853048983672,12004.0,0.05321457891223604,0.0587770115155364,0.06991379011639345,0.06206166706374747,0.045668652067726884,0.2289039660150163,0.29720134863239867,0.055053195800181996,0.04276755658213401,0.0378832866966755,0.028662413137725794,0.019892533460227662,24073.810857599998,0.00016661112962345885,0.0,0.00024991669443518826,0.00024991669443518826,0.00583138953682106,0.0003332222592469177,0.0003332222592469177,0.00016661112962345885,0.000999666777740753,0.0004998333888703765,8.330556481172943e-05,0.0009163612129290237,0.0004998333888703765,0.003915361546151283,0.007830723092302566,0.0038320559813395535,0.0005831389536821059,0.0009163612129290237,0.00016661112962345885,0.00016661112962345885,0.0,0.0003332222592469177,8.330556481172943e-05,0.0,4836.0,0.8491203127776791,0.11551448373911498,0.054380664652567974,0.06326639417096143,0.26159587702150344,0.4489247311827957,0.7946650124069479,3114.0,0.12620423892100194,0.02119460500963391,0.004906047143138065,758.2123562029424,1027.082236895728,950.1973592456023,0.0716427857380873,0.06039653448850383,0.012912362545818061,0.012079306897700766,0.0775574808397201,0.46667777407530825,0.01691102965678107,0.22267577474175274,0.06664445184938354,0.03415528157280907,0.10054981672775741,0.20601466177940686,0.009830056647784071,0.08655448183938687,0.038153948683772074,0.02590803065644785,0.0024158613795401533,13.962360697087501,27.8898608409075,0.07621532293527157,70.7090581161,0.2788394590393095,0.5199895179977442,5627.0,12004.0,-183.82564593918877,36.06791350040974,1
ballarat,79.54909245413,654.7110126048609,0.22356584043708372,0.37182220816197403,0.29839357416948836,0.0035235238220974073,0.01814207101191553,0.10153158622643468,0.7347519219973547,0.14205089694219772,0.06745214053028036,0.06264695571876844,0.06201424455141633,0.07247107911454637,0.08439853963422454,0.2601981924980976,0.23897671793907163,0.044469334883760696,0.03538052446625683,0.028147096796258455,0.022828902930136716,0.02101627093718204,116957.0,0.06319825543520402,0.06309131656809241,0.06619403286516926,0.07934205832529098,0.08367108264535691,0.2630837559016382,0.23349529741278202,0.038467732796984476,0.034114973903825424,0.030574417707654896,0.025483658317740125,0.019283418120261284,115773.36245111111,1.710030182032713e-05,1.710030182032713e-05,3.420060364065426e-05,0.0,0.000940516600117992,0.0002137537727540891,0.00012825226365245347,0.0001453525654727806,0.0005472096582504681,0.00022230392366425267,0.0002394042254845798,0.000470258300058996,0.0001453525654727806,0.0037193156459211507,0.0025992458766897234,0.00271039783852185,0.0002821549800353976,0.00034200603640654255,6.840120728130852e-05,5.130090546098139e-05,1.710030182032713e-05,8.550150910163565e-06,8.550150910163565e-06,0.0,46072.0,0.9133279645661365,0.06581437487416952,0.09945641232132071,0.07342460237567948,0.2148177974632575,0.3903021357874631,0.7613517971870116,28931.0,0.1647367875289482,0.03045176454322353,0.007272483540223467,845.8322243095012,1063.2464622257419,980.7329735251643,0.07739596603880058,0.06658857528835384,0.01899843532238344,0.050916148670024024,0.12982549141992356,0.38518429850286856,0.026565318877878195,0.159853621416418,0.05419085646861667,0.02698427627247621,0.09347024974990809,0.2290585428832819,0.012295117008815205,0.08191044571936695,0.04269945364535684,0.037458211137426575,0.004959087527894868,8.057337265006668,8.057337265006668,0.41460791329790436,8.057337265006668,0.29697966034497697,0.6655003966686481,49670.0,116957.0,-95.74447052213017,38.31936769415767,1
banyule,20.2897814415875,84.53512335655124,0.0,0.0,0.0,0.008991437659240726,0.021552165087924277,0.6056559064041324,0.019616851801026104,0.34418363904767657,0.06379415055138245,0.05686431197059293,0.05339939268019818,0.061281764423845295,0.08085664056256993,0.2849608438548825,0.24701294550103883,0.046936231420808695,0.03418890842256673,0.026459964839379894,0.021799584465398755,0.022445261307335783,156425.0,0.060385528874866715,0.05711361227318552,0.05818476445712632,0.06852946756765552,0.07866970823843232,0.28621800474875014,0.25191479072984607,0.03827531993811006,0.0314482140726571,0.0278188026586148,0.022952848774324016,0.018488937666431483,150149.842862,2.557136007671408e-05,5.114272015342816e-05,1.278568003835704e-05,0.0,0.0007223909221671728,0.00020457088061371265,2.557136007671408e-05,0.0002748921208246764,0.00018539236055617708,0.00030046348090139043,5.114272015342816e-05,0.000319642000958926,0.00020457088061371265,0.005465878216397635,0.0039060252517180757,0.001400031964200096,0.00023014224069042673,0.00021096372063289116,4.474988013424964e-05,3.19642000958926e-05,2.557136007671408e-05,1.278568003835704e-05,6.39284001917852e-06,0.0,56881.0,0.9324148862620778,0.07972615213395612,0.08176652108662294,0.0619698834797565,0.159283678734634,0.28012868972064486,0.7700110757546457,40240.0,0.125720675944334,0.026018886679920476,0.009020589486335663,966.3716393701535,1108.1920675477627,1046.810280108627,0.07062809653188429,0.05827712961483139,0.018206808374620426,0.062055298066165894,0.2056256992168771,0.28919290394757874,0.022867188748601566,0.13650631292951895,0.04423845293271536,0.01974108997922327,0.09356560652069681,0.21944701933834107,0.005293271535879815,0.23093495285280485,0.17760588141281763,0.21727984657183955,0.028914815406744447,7.647263178888333,7.718343923368334,0.251633566185175,7.647263178888333,0.21074322341476312,0.5000155965321383,59303.0,156425.0,10.077340150851578,9.265546000632282,0
basscoast,106.17261773976956,680.4489340999654,1.3349590071877808,1.444839678796047,1.3843344891252134,0.0013380953624104201,0.0012320978354153213,0.06872998919285106,0.814785277338517,0.11391454027080627,0.060309973045822106,0.05671608265947889,0.053150269541778976,0.04944407008086253,0.039139712488769095,0.22731356693620844,0.2795934411500449,0.07993598382749326,0.055031446540880505,0.04096473495058401,0.031839622641509434,0.026561096136567836,35616.0,0.05130260629875238,0.05675326636578023,0.06189609665569363,0.05712869257196576,0.04132765907263394,0.21570854434782122,0.2941611341500356,0.06601996529443603,0.05423396700093666,0.047780086398077404,0.03163206361551779,0.022055918228349243,33078.35715964118,2.807726864330638e-05,0.0,5.615453728661276e-05,0.0,0.0015723270440251573,0.0002526954177897574,5.615453728661276e-05,8.423180592991914e-05,0.00016846361185983828,0.00016846361185983828,0.0,0.00022461814914645105,0.00016846361185983828,0.003762353998203055,0.007131626235399821,0.0,0.00016846361185983828,0.0003088499550763702,2.807726864330638e-05,5.615453728661276e-05,2.807726864330638e-05,8.423180592991914e-05,0.0,5.615453728661276e-05,14557.0,0.5098567201888236,0.027292975632459027,0.016688274990858017,0.029088128719125028,0.13703001894883815,0.4433605825376108,0.7940509720409425,9219.0,0.1187764399609502,0.030697472610912248,0.0038809167263808117,911.8077414348908,1043.5693322074724,977.398222900886,0.06519541778975742,0.05250449236298293,0.019289083557951482,0.01007973944294699,0.09515386343216532,0.44401392632524705,0.018896001796945193,0.17975067385444743,0.0576707097933513,0.03397349505840072,0.10251010781671159,0.20979335130278526,0.007805480682839173,0.14510332434860737,0.05660377358490566,0.04242475292003594,0.006626235399820306,27.516605057955655,28.700711011833913,0.4152894153490005,28.700711011833913,0.2662359087080513,0.5535777580406596,30081.0,35616.0,38.41405258971292,-76.39190066084167,1
bawbaw,92.1937413104294,4830.16365411251,0.7232233632862645,1.4835849990830736,1.0845079559085713,0.0002190885020604064,0.0006864148623763238,0.011533312874386265,0.46033874197466684,0.5272224417865101,0.06788923528333028,0.06383642031909041,0.06774252704933065,0.07161195672107097,0.055877498624610306,0.23097377590317256,0.28151476251604624,0.05490555657436274,0.040106363469649735,0.028278012103429305,0.01929213277095177,0.01797175866495507,54530.0,0.05834774429617471,0.06719913519030471,0.07481424575718228,0.07729777779982844,0.059097711992312674,0.24163753660925244,0.26430999066031996,0.04400001054942509,0.036672045777958004,0.031713799139314304,0.02241264386665314,0.02249735836127401,116887.25104617502,1.8338529249954154e-05,1.8338529249954154e-05,3.667705849990831e-05,0.0,0.0008068952869979827,0.00012836970474967908,5.501558774986246e-05,0.00012836970474967908,0.0003117549972492206,0.0003117549972492206,3.667705849990831e-05,0.00022006235099944984,0.00012836970474967908,0.002879149092242802,0.003814414083990464,0.0007335411699981661,0.00033009352649917477,0.000715202640748212,0.00011003117549972492,3.667705849990831e-05,1.8338529249954154e-05,1.8338529249954154e-05,1.8338529249954154e-05,0.0,20454.0,0.8842494714587738,0.03589675828047921,0.039992952783650455,0.0357646229739253,0.18952607470049332,0.3676542485577393,0.7955901046250122,14556.0,0.11644682605111294,0.026312173674086288,0.0020357533387906383,865.9951920215533,1078.876291808103,1002.2659566510084,0.08195488721804511,0.07203374289381992,0.023106546854942234,0.01960388776820099,0.09503025857326243,0.44830368604437926,0.02308820832569228,0.18501742160278745,0.04513112048413717,0.02000733541169998,0.09754263708050614,0.23258756647716852,0.008802494039977994,0.0958004768017605,0.040693196405648266,0.0267192371171832,0.0032459196772418853,23.44496623525882,23.44496623525882,0.38961348124100503,23.44496623525882,0.26722757224943317,0.633645769921698,22704.0,54530.0,94.92888705929127,-30.817271700459273,1
bayside,20.11834681295,35.882194260099,0.0,0.0,0.0,0.02379690129554846,0.0056382802198073215,0.7766184494839653,0.0,0.19394636900067871,0.05726496604579964,0.06910013663868828,0.06446674954025705,0.06201136258565602,0.05671019242425799,0.22641955268808367,0.2808387355270863,0.05203571098349035,0.036389040138898876,0.028940690590422962,0.02895096417600707,0.0368718986613518,97337.0,0.06469659709872243,0.06412748182687315,0.06191544879593403,0.06504021387982095,0.05122037647659164,0.2457719028377624,0.27626789225877774,0.03901124270758105,0.03241809573186362,0.033921419161384164,0.03225702536414654,0.033352303860542235,93126.9997865,1.0273585584104708e-05,5.136792792052354e-05,2.0547171168209416e-05,0.0,0.001130094414251518,0.0003801226666118742,1.0273585584104708e-05,0.00031848115310724597,0.00022601888285030358,0.00031848115310724597,3.0820756752314126e-05,0.00035957549544366477,0.0002568396396026177,0.007170962737705087,0.005876490954107893,0.0016335001078726487,0.00029793398193903655,0.00019519812609798947,3.0820756752314126e-05,3.0820756752314126e-05,2.0547171168209416e-05,0.0,0.0,0.0,35245.0,0.9117807507468503,0.04473308221846993,0.044914924016105987,0.05774775944927913,0.12845824133004285,0.21498084834728332,0.6396652007376933,24742.0,0.10653948751111471,0.023441920620806727,0.009653795951932947,913.9230344022582,1138.9383544720743,1089.1522383206948,0.08634948683440008,0.06552492885541983,0.011239302629010552,0.04716603141662472,0.26563382886261133,0.21395769337456466,0.017865765330758086,0.1618808880487379,0.039286191273616405,0.03153990774320146,0.09230816647318081,0.23493635513730649,0.0013766604682700309,0.23408364753382577,0.11986192300974963,0.13020742369294308,0.015400104790572957,4.35862081517625,4.9807253237175,0.22990617154454115,4.9807253237175,0.28048844124204053,0.5712884825860264,38495.0,97337.0,5.883757772613259,-14.204647812361031,0
benalla,146.0819661215,2306.566880650417,1.3100000000000003,1.9115671260847371,1.5945813171580643,0.00015370003249082762,0.004535861029366081,0.005416687603753134,0.708888279681826,0.28100547165256407,0.05243199883322395,0.05607817399547874,0.059651425654488444,0.07110041566396849,0.044483336979508493,0.1897469554437395,0.3030700794866185,0.06402683584919419,0.05199445781375337,0.040035003281557645,0.03427404652519507,0.03310727047327353,13713.0,0.04957577806069226,0.061053761856084125,0.07893427410906498,0.06869184399798026,0.048559839035287274,0.2079041372272557,0.29076908516074923,0.05138523512990437,0.0435205811659737,0.039316045544581665,0.032689351662659565,0.027600067049766728,13931.612376400002,7.29235032450959e-05,0.0,0.0001458470064901918,0.0,0.002041858090862685,7.29235032450959e-05,7.29235032450959e-05,0.0002916940129803836,0.0005104645227156713,0.0003646175162254795,0.0002916940129803836,0.0002916940129803836,0.0002916940129803836,0.005323415736892,0.00692773280828411,0.0,0.0001458470064901918,0.0004375410194705754,7.29235032450959e-05,7.29235032450959e-05,7.29235032450959e-05,7.29235032450959e-05,0.0,7.29235032450959e-05,5826.0,0.853988283010365,0.04040859245906565,0.09283461018476791,0.06339191828150818,0.2550698512843623,0.45829042224510813,0.8192584963954685,3765.0,0.13094289508632137,0.031341301460823374,0.003998060776379718,686.5872965774171,1049.9655785779478,956.1131747725199,0.0712462626704587,0.07161088018668417,0.024210603077371835,0.009698825931597753,0.08772697440385036,0.5020783198424852,0.023700138554656167,0.21796835119959163,0.06001604317071392,0.03303434697002844,0.11047910741632028,0.2010500984467294,0.011594837015970248,0.07883030700794866,0.04134762633996937,0.02895063078830307,0.0033544811492744113,9.344408567239999,9.344408567239999,0.14958056958652374,39.5451670171,0.2786598022082027,0.5839191715281459,6657.0,13713.0,115.96551211459379,115.96551211459379,1
boroondara,13.128479370815834,64.6271600827608,0.0,0.0,0.0,0.030676637524905948,0.0007844010893055558,0.7608024640321784,0.0,0.20773649735361013,0.04963277421889494,0.05834688376458263,0.05968919494068731,0.06982200735542872,0.08708652996191328,0.27175799111673743,0.2547881221830563,0.04288847904139338,0.03151702989097814,0.024107035674920608,0.02266105005838508,0.027702901793022164,183266.0,0.05484162118329691,0.05722624907227793,0.06306832138180045,0.07147572364607954,0.08530725460964933,0.27382766771414374,0.25288595699967775,0.03426807697152003,0.028183691126599825,0.02736295589128706,0.02458254922446086,0.02696993217920659,177456.05432,2.1826197985441925e-05,6.002204445996529e-05,1.0913098992720963e-05,0.0,0.0009385265133740028,0.0002619143758253031,1.0913098992720963e-05,0.00048017635567972235,0.00022371852935077974,0.0003492191677670708,4.9108945467244336e-05,0.0004692632566870014,0.00025100127683258213,0.006247749173332751,0.005909443104558401,0.0020898584571060644,0.0002619143758253031,0.00018552268287625636,4.365239597088385e-05,8.184824244540722e-05,2.1826197985441925e-05,5.456549496360481e-06,5.456549496360481e-06,0.0,66307.0,0.9152741953571829,0.05503532578221375,0.013303241000336436,0.07809521139396658,0.10614556465178872,0.19841042423876815,0.667968691088422,44242.0,0.0962659915917002,0.01930292482256679,0.009996035114078273,1008.5667377773444,1150.1663360990779,1097.6816308762868,0.07618434406818504,0.07205919264893652,0.013739591631835692,0.08256305042943045,0.33680006111335437,0.1702225180884616,0.02218633025220172,0.18381478288389555,0.03473639409383082,0.023081204369604837,0.09165911843986337,0.21158316327087404,0.001009461656826689,0.26721268538626913,0.19484246941604008,0.21946242074361857,0.02845590562351991,8.095675583306667,8.842899206996666,0.12631852439833358,8.341218064256667,0.2385188037638692,0.5237551638847,71336.0,183266.0,9.042407701513826,-0.6696960066389064,0
brimbank,19.41950663044074,128.34925583383458,0.0,0.0,0.0,0.016542651275771373,0.21305157194097069,0.47493857864116434,0.06964849012088817,0.22581870802120552,0.06505079308501159,0.059569282345970996,0.059434412134465604,0.06599488456554933,0.08016589036015163,0.3085445095781934,0.24188490754165323,0.041193216028361276,0.02910306492555646,0.021728554432172326,0.01472975381369607,0.01260073118921809,207607.0,0.06356363388551198,0.06375010774940675,0.06817845929861775,0.07164892043072738,0.08033427040577441,0.29623417596904283,0.248310733497685,0.03476282592452614,0.02775003524741627,0.020936845726017728,0.01490743953044289,0.009622552334830907,208780.823820825,4.816793268049728e-06,1.9267173072198914e-05,2.8900759608298372e-05,0.0,0.0007369693700116085,3.37175528763481e-05,4.816793268049728e-06,0.0001011526586290443,0.0001011526586290443,0.0003082747691551826,2.8900759608298372e-05,0.00014932059130954157,0.0001830381441858897,0.002986411826190832,0.00212902262447798,0.00014450379804149187,0.00019748852399003886,0.00024083966340248642,4.816793268049729e-05,4.816793268049728e-06,1.4450379804149186e-05,9.633586536099457e-06,0.0,0.0,70358.0,0.9404050604505035,0.02120676596818985,0.05340963280877444,0.0781789110493983,0.2211843249460013,0.3785923420222292,0.9826458966997357,52348.0,0.1657560938335753,0.0317681668831665,0.008436730246688387,828.6411682285669,1016.219654989923,926.472148544374,0.06709793022393272,0.061288877542664745,0.0221524322397607,0.038187537029098245,0.10226052108069573,0.3238859961369318,0.035952544952723174,0.0693907238195244,0.05488735928942666,0.0106354795358538,0.08398079062844702,0.1862268613293386,0.00390160254712028,0.4342194627348789,0.4004392915460461,0.5225931688237873,0.11714441227896939,6.785350005221112,7.154664838947777,0.2678681840797035,17.20789254673704,0.1969785314784292,0.5970013682426395,71298.0,207607.0,-13.31702547648995,7.86330274961104,0
