,Year,Local Government Area,Offence Count,"Rate per 100,000 population"
0,2014,alpine,663.0,3615.612105780698
1,2014,ballarat,10221.0,10229.8
2,2014,banyule,8932.0,7139.5
3,2014,basscoast,2572.0,8058.400000000001
4,2014,bawbaw,3810.0,8168.299999999999
5,2014,bayside,4260.0,4268.7
6,2014,benalla,3080.0,5809.5341026646
7,2014,boroondara,6789.0,3932.0
8,2014,brimbank,17366.0,8750.0
9,2014,buloke,216.0,3409.6
10,2014,campaspe,3494.0,7298.594620127384
11,2014,cardinia,5595.0,6352.900000000001
12,2014,casey,17611.0,6116.3
13,2014,centralgoldfields,2109.0,6719.777158943595
14,2014,colacotway,2205.0,5884.569447590754
15,2014,darebin,14480.0,9684.9
16,2014,eastgippsland,3913.0,8837.5
17,2014,frankston,14890.0,10934.0
18,2014,gleneira,5352.0,3724.5999999999995
19,2014,glenelg,2683.0,7450.712476174388
20,2014,goldenplains,577.0,2760.8999999999996
21,2014,greaterbendigo,8628.0,7992.199999999999
22,2014,greaterdandenong,15960.0,10490.7
23,2014,greatergeelong,18635.0,8077.091706664377
24,2014,greatershepparton,7261.0,11359.7
25,2014,hindmarsh,228.0,3901.4
26,2014,hobsonsbay,7025.0,7769.6
27,2014,horsham,2379.0,12046.8
28,2014,hume,17760.0,9284.9
29,2014,indigo,441.0,2803.2
30,2014,kingston,9466.0,6138.4
31,2014,knox,9540.0,6059.7
32,2014,latrobe,11883.0,16029.099999999999
33,2014,loddon,531.0,7067.700000000001
34,2014,macedonranges,2088.0,4591.900000000001
35,2014,manningham,4026.0,3370.8
36,2014,maribyrnong,8155.0,9889.3
37,2014,maroondah,7762.0,6966.399999999999
38,2014,melbourne,33063.0,25835.5
39,2014,melton,9826.0,7598.900000000001
40,2014,merribek,12696.0,7736.8
41,2014,mildura,5935.0,11044.5
42,2014,mitchell,4531.0,7407.723132647035
43,2014,monash,9148.0,4914.3
44,2014,mooneevalley,8483.0,7203.5
45,2014,moorabool,2537.0,5485.399100150163
46,2014,morningtonpeninsula,10441.0,6671.599999999999
47,2014,moyne,646.0,3912.2999999999997
48,2014,northerngrampians,1954.0,8372.959437900896
49,2014,portphillip,11863.0,11357.500000000002
50,2014,pyrenees,451.0,6399.9
51,2014,southgippsland,1201.0,4210.9
52,2014,stonnington,9610.0,9075.1
53,2014,surfcoast,1411.0,4886.7
54,2014,swanhill,2197.0,10491.9
55,2014,total,457570.0,7763.19402310255
56,2014,wangaratta,2511.0,9012.3
57,2014,warrnambool,3001.0,8897.4
58,2014,wellington,3902.0,9085.4
59,2014,westwimmera,194.0,4804.4
60,2014,whitehorse,7328.0,4459.6
61,2014,whittlesea,15642.0,6223.5979970254075
62,2014,wodonga,3171.0,8264.5
63,2014,wyndham,12973.0,6437.8
64,2014,yarra,12859.0,14741.8
65,2014,yarraranges,7055.0,4642.4
66,2014,yarriambiack,355.0,5127.1
67,2015,alpine,683.0,3705.0648544594796
68,2015,ballarat,11307.0,11142.200000000003
69,2015,banyule,9226.0,7317.1
70,2015,basscoast,2786.0,8552.3
71,2015,bawbaw,3771.0,7883.0
72,2015,bayside,4505.0,4448.6
73,2015,benalla,3193.0,5980.982889454328
74,2015,boroondara,7457.0,4267.2
75,2015,brimbank,19228.0,9572.8
76,2015,buloke,222.0,3520.5
77,2015,campaspe,3655.0,7620.181703197025
78,2015,cardinia,7316.0,7926.499999999999
79,2015,casey,21029.0,7020.700000000001
