LGA,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
alpine,232888.88888888888,228444.44444444444,255888.88888888888,269000.0,302222.22222222225,331166.6666666667,361222.22222222225,401166.6666666667,527277.7777777778,665388.8888888889,661388.8888888889
ballarat,552466.5724669909,609901.9028233488,653476.9415042531,688908.5953884309,728854.086491931,774736.7121945854,791984.4418972328,817884.5933081278,984296.1686309882,1046596.5408467317,1031247.7766870093
banyule,653361.5913872188,707167.5480244175,781832.825594629,874368.7562509341,984569.3983008956,974188.6460045754,947589.0880246473,1005576.8333199214,1202964.3021371008,1192205.7175210088,1176132.258268477
basscoast,320354.1666666667,327416.6666666667,335770.8333333333,353104.1666666667,388625.0,454708.3333333333,465166.6666666667,529875.0,683020.8333333334,773687.5,728812.5
bawbaw,384649.88021082897,403554.1127615397,434038.1887877336,474654.0967896502,503216.64270883246,517460.27791087684,533972.2727998722,591655.7578661556,704008.8005111004,716370.3721450247,778998.3069797157
bayside,1060975.8832083903,1153000.1428978613,1356251.4753342199,1544398.1797187708,1732024.8829999815,1672061.6606187287,1572117.5371304578,1744735.9251353124,2055756.714283963,2040937.08356575,1973979.3935920463
benalla,235590.9090909091,243545.45454545456,245045.45454545456,258636.36363636365,250454.54545454544,278954.54545454547,322909.0909090909,354863.63636363635,408681.8181818182,639363.6363636364,509818.1818181818
boroondara,1294164.1806222335,1472632.1457052177,1789251.184149259,1883534.689552191,2120014.512184026,1983814.9917310255,1917591.4537874043,2034634.3828776032,2362973.3599867267,2351283.550895672,2414437.8301568697
brimbank,416566.5562315523,438511.94120836095,485168.9452442624,552558.9675320764,653419.343894946,671995.5790615024,649204.6565869526,675855.989398229,762090.2046864646,785077.6295403892,757989.6791759533
buloke,242500.0,246666.66666666666,294333.3333333333,297083.3333333333,305083.3333333333,323416.6666666667,315416.6666666667,336416.6666666667,380000.0,408833.3333333333,425583.3333333333
campaspe,179166.66666666666,174166.66666666666,185541.66666666666,194625.0,209500.0,222083.33333333334,222833.33333333334,243833.33333333334,308291.6666666667,353375.0,347541.6666666667
cardinia,369358.9301033539,383532.6708607378,419923.1688385963,446024.4393153315,545727.3479308796,637851.5564361289,620814.167245394,661732.1888149026,763513.50136852,852728.0934678704,832976.8679276115
casey,396489.62894473586,415692.07869766885,454638.20997665747,505243.15298450907,592063.6625034105,626866.0040318914,597444.437657259,631083.9955133841,724736.8138205961,783894.8801042837,776366.8501227758
centralgoldfields,306142.85714285716,263857.14285714284,323000.0,349285.71428571426,358000.0,375571.4285714286,424714.28571428574,445571.4285714286,543428.5714285715,609071.4285714285,622500.0
colacotway,262192.3076923077,267730.76923076925,283500.0,308884.6153846154,339730.76923076925,354730.76923076925,396423.07692307694,436807.6923076923,522346.1538461539,584769.2307692308,615961.5384615385
darebin,640428.3397643133,699725.4093231828,785645.0125143393,896318.5003650016,1018867.1655021379,992230.2768797581,960093.1301491292,1062962.7411617478,1256210.7414746063,1226843.8132234851,1183467.6817186358
eastgippsland,306761.90476190473,308952.38095238095,335833.3333333333,348976.1904761905,374976.1904761905,394714.28571428574,397595.2380952381,443333.3333333333,515404.7619047619,629142.8571428572,589595.2380952381
frankston,394660.55196378904,418430.90758596006,458854.83173381654,522860.37225118006,633166.905289218,661051.3038485344,625989.3887534209,664936.7501099901,816589.0248540301,850554.4767827714,825274.4755896587
gleneira,935666.5507379319,1074305.0066017213,1260928.2151314975,1394489.8756914712,1520392.9866684258,1466053.403659595,1430137.3365240789,1516358.3772786127,1786028.860038329,1744423.3352455243,1687462.4858873745
glenelg,205142.85714285713,192571.42857142858,211285.7142857143,225357.14285714287,231285.7142857143,237071.42857142858,239571.42857142858,282571.4285714286,336142.85714285716,433928.5714285714,433571.4285714286
