,LGA,Population
0,alpine,12932.0
1,ballarat,119220.0
2,banyule,129496.0
3,basscoast,43515.0
4,bawbaw,61607.0
5,bayside,103406.0
6,benalla,14198.0
7,boroondara,174036.0
8,brimbank,196174.0
9,campaspe,38405.0
10,cardinia,130757.0
11,casey,402330.0
12,centralgoldfields,13230.0
13,colacotway,22034.0
14,darebin,155666.0
15,eastgippsland,49517.0
16,frankston,142806.0
17,gleneira,155538.0
18,glenelg,19673.0
19,greaterbendigo,125551.0
20,greaterdandenong,162345.0
21,greatergeelong,287253.0
22,greatershepparton,69825.0
23,hobsonsbay,92897.0
24,horsham,19993.0
25,hume,267496.0
26,kingston,162615.0
27,knox,160925.0
28,latrobe,78026.0
29,macedonranges,53212.0
30,manningham,128139.0
31,maribyrnong,94245.0
32,maroondah,117137.0
33,melbourne,183870.0
34,melton,213899.0
35,merribek,182190.0
36,mildura,57552.0
37,mitchell,55829.0
38,monash,200030.0
39,mooneevalley,126972.0
40,moorabool,39894.0
41,morningtonpeninsula,171717.0
42,northerngrampians,11456.0
43,portphillip,111468.0
44,southgippsland,30802.0
45,stonnington,112145.0
46,surfcoast,40234.0
47,swanhill,20716.0
48,wangaratta,29895.0
49,wellington,46059.0
50,whitehorse,176676.0
51,whittlesea,249979.0
52,wodonga,44529.0
53,wyndham,335014.0
54,yarra,98907.0
55,yarraranges,159154.0
